glyph_id,page_number,index,line_number,sura_number,ayah_number,position,min_x,min_y,max_x,max_y
1,2,1,1,1,1,1,250,432,657,500
2,2,2,2,1,2,1,182,506,725,573
3,2,3,3,1,3,1,472,582,788,652
4,2,4,3,1,4,1,120,582,469,652
5,2,5,4,1,5,1,234,665,792,736
6,2,6,4,1,6,1,106,670,244,726
7,2,6,5,1,6,2,414,750,778,820
8,2,7,5,1,7,1,126,750,420,820
9,2,7,6,1,7,2,200,835,705,902
10,2,7,7,1,7,3,288,906,612,977
11,3,8,1,2,1,1,610,510,724,577
12,3,9,1,2,2,1,186,510,610,577
13,3,9,2,2,2,2,613,592,789,666
14,3,10,2,2,3,1,108,592,610,666
15,3,10,3,2,3,2,430,675,805,738
16,3,11,3,2,4,1,105,675,435,738
17,3,11,4,2,4,2,112,755,789,828
18,3,12,5,2,5,1,175,835,715,900
19,3,12,6,2,5,2,290,915,625,980
20,4,13,1,2,6,1,49,68,861,153
21,4,13,2,2,6,2,663,153,861,238
22,4,14,2,2,7,1,49,153,663,238
23,4,14,3,2,7,2,256,238,861,323
24,4,15,3,2,8,1,49,238,256,323
25,4,15,4,2,8,2,69,323,861,408
26,4,16,4,2,9,1,49,323,69,408
27,4,16,5,2,9,2,49,408,861,493
28,4,16,6,2,9,3,618,493,861,578
29,4,17,6,2,10,1,49,493,618,578
30,4,17,7,2,10,2,233,578,861,663
31,4,18,7,2,11,1,49,578,233,663
32,4,18,8,2,11,2,191,663,861,748
33,4,19,8,2,12,1,49,663,191,748
34,4,19,9,2,12,2,261,748,861,833
35,4,20,9,2,13,1,49,748,261,833
36,4,20,10,2,13,2,49,833,861,918
37,4,20,11,2,13,3,181,918,861,1003
38,4,21,11,2,14,1,49,918,181,1003
39,4,21,12,2,14,2,49,1003,861,1088
40,4,21,13,2,14,3,420,1088,861,1173
41,4,22,13,2,15,1,49,1088,420,1173
42,4,22,14,2,15,2,500,1173,861,1258
43,4,23,14,2,16,1,49,1173,500,1258
44,4,23,15,2,16,2,67,1258,861,1343
45,4,24,15,2,17,1,49,1258,67,1343
46,5,24,1,2,17,2,49,68,861,153
47,5,24,2,2,17,3,145,153,861,238
48,5,25,2,2,18,1,49,153,145,238
49,5,25,3,2,18,2,455,238,861,323
50,5,26,3,2,19,1,49,238,455,323
51,5,26,4,2,19,2,49,323,861,408
52,5,26,5,2,19,3,213,408,861,493
53,5,27,5,2,20,1,49,408,213,493
54,5,27,6,2,20,2,49,493,861,578
55,5,27,7,2,20,3,49,578,861,663
