,page_number,index,line_number,sura_number,ayah_number,position,min_x,min_y,max_x,max_y
0,2,1,1,1,1,1,173,397,471,457
1,2,2,1,1,2,1,165,397,173,457
2,2,2,2,1,2,2,221,478,517,538
3,2,3,2,1,3,1,124,478,221,538
4,2,3,3,1,3,2,405,555,517,615
5,2,4,3,1,4,1,226,555,405,615
6,2,5,3,1,5,1,124,555,226,615
7,2,5,4,1,5,2,292,635,517,695
8,2,6,4,1,6,1,124,635,292,695
9,2,6,5,1,6,2,378,716,517,776
10,2,7,5,1,7,1,124,716,378,776
11,2,7,6,1,7,2,130,795,517,855
12,2,8,6,2,1,1,124,795,130,855
13,3,8,1,2,1,2,166,398,472,458
14,3,8,2,2,1,3,435,477,518,537
15,3,9,2,2,2,1,125,477,435,537
16,3,9,3,2,2,2,381,556,518,616
17,3,10,3,2,3,1,125,556,381,616
18,3,10,4,2,3,2,131,634,518,694
19,3,11,4,2,4,1,125,634,131,694
20,3,11,5,2,4,2,125,715,518,775
21,3,11,6,2,4,3,131,792,518,852
22,3,12,6,2,5,1,125,792,131,852
23,4,12,1,2,5,2,29,25,623,85
24,4,13,1,2,6,1,19,25,29,85
25,4,13,2,2,6,2,19,92,623,152
26,4,13,3,2,6,3,466,155,623,215
27,4,14,3,2,7,1,19,155,466,215
28,4,14,4,2,7,2,173,220,623,280
29,4,15,4,2,8,1,19,220,173,280
30,4,15,5,2,8,2,28,287,623,347
31,4,16,5,2,9,1,19,287,28,347
32,4,16,6,2,9,2,20,350,623,410
33,4,16,7,2,9,3,430,417,623,477
34,4,17,7,2,10,1,19,417,430,477
35,4,17,8,2,10,2,149,482,623,542
36,4,18,8,2,11,1,19,482,149,542
37,4,18,9,2,11,2,27,547,623,607
38,4,19,9,2,12,1,19,547,27,607
39,4,19,10,2,12,2,89,613,623,673
40,4,20,10,2,13,1,19,613,89,673
41,4,20,11,2,13,2,19,676,623,736
42,4,20,12,2,13,3,26,743,623,803
43,4,21,12,2,14,1,19,743,26,803
44,4,21,13,2,14,2,19,808,623,868
45,4,21,14,2,14,3,26,871,623,931
46,4,22,14,2,15,1,19,871,26,931
47,4,22,15,2,15,2,28,936,623,996
48,4,23,15,2,16,1,19,936,28,996
49,5,23,1,2,16,2,20,24,623,84
50,5,23,2,2,16,3,370,91,623,151
51,5,24,2,2,17,1,19,91,370,151
52,5,24,3,2,17,2,19,154,623,214
53,5,24,4,2,17,3,386,221,623,281
54,5,25,4,2,18,1,50,221,386,281
55,5,26,4,2,19,1,19,221,50,281
56,5,26,5,2,19,2,19,284,623,344
57,5,26,6,2,19,3,19,351,623,411
58,5,26,7,2,19,4,465,414,623,474
59,5,27,7,2,20,1,19,414,465,474
60,5,27,8,2,20,2,19,479,623,539
61,5,27,9,2,20,3,87,546,623,606
62,5,28,9,2,21,1,19,546,87,606
63,5,28,10,2,21,2,19,610,623,670
64,5,28,11,2,21,3,442,675,623,735
65,5,29,11,2,22,1,19,675,442,735
66,5,29,12,2,22,2,19,740,623,800
67,5,29,13,2,22,3,206,807,623,867
68,5,30,13,2,23,1,19,807,206,867
69,5,30,14,2,23,2,19,870,623,930
70,5,30,15,2,23,3,29,937,623,997
71,5,31,15,2,24,1,19,937,29,997
72,6,31,1,2,24,2,19,25,623,85
73,6,31,2,2,24,3,222,92,623,152
74,6,32,2,2,25,1,19,92,222,152
75,6,32,3,2,25,2,19,155,623,215
76,6,32,4,2,25,3,19,222,623,282
77,6,32,5,2,25,4,19,287,623,347
78,6,32,6,2,25,5,488,350,623,410
79,6,33,6,2,26,1,19,350,488,410
80,6,33,7,2,26,2,19,417,623,477
81,6,33,8,2,26,3,19,480,623,540
82,6,33,9,2,26,4,28,545,623,605
83,6,34,9,2,27,1,19,545,28,605
84,6,34,10,2,27,2,19,613,623,673
85,6,34,11,2,27,3,19,678,623,738
86,6,34,12,2,27,4,418,743,623,803
87,6,35,12,2,28,1,19,743,418,803
88,6,35,13,2,28,2,27,808,623,868
89,6,36,13,2,29,1,19,808,27,868
90,6,36,14,2,29,2,19,871,623,931
91,6,36,15,2,29,3,28,938,623,998
92,6,37,15,2,30,1,19,938,28,998
93,7,37,1,2,30,2,19,26,623,86
94,7,37,2,2,30,3,19,91,623,151
95,7,37,3,2,30,4,84,154,623,214
96,7,38,3,2,31,1,19,154,84,214
97,7,38,4,2,31,2,19,219,623,279
98,7,38,5,2,31,3,265,284,623,344
99,7,39,5,2,32,1,19,284,265,344
100,7,39,6,2,32,2,194,351,623,411
101,7,40,6,2,33,1,19,351,194,411
102,7,40,7,2,33,2,19,414,623,474
103,7,40,8,2,33,3,26,479,623,539
104,7,41,8,2,34,1,19,479,26,539
105,7,41,9,2,34,2,19,546,623,606
106,7,41,10,2,34,3,272,610,623,670
107,7,42,10,2,35,1,19,610,272,670
108,7,42,11,2,35,2,19,675,623,735
109,7,42,12,2,35,3,207,740,623,800
110,7,43,12,2,36,1,19,740,207,800
111,7,43,13,2,36,2,19,805,623,865
112,7,43,14,2,36,3,92,872,623,932
113,7,44,14,2,37,1,19,872,92,932
114,7,44,15,2,37,2,28,937,623,997
115,7,45,15,2,38,1,19,937,28,997
